"Observation Time","Diameter (inches)","Diameter (cm)","Diameter (mm)",Latitude,Longitude,"Affected County"
"1990-04-01 15:00:00",0.75,1.91,19.05,35.85,-81.28,"Alexander County NC"
"1990-04-01 16:30:00",1,2.54,25.4,35.23,-80.85,"Mecklenburg County NC"
"1990-04-01 17:02:00",1,2.54,25.4,35.08,-80.52,"Union County NC"
"1990-04-01 17:15:00",0.75,1.91,19.05,35.47,-81.27,"Lincoln County NC"
"1990-04-01 17:38:00",1.75,4.45,44.45,35,-80.1,"Anson County NC"
"1990-04-01 18:00:00",0.75,1.91,19.05,35.43,-81.63,"Cleveland County NC"
"1990-04-01 18:40:00",1,2.54,25.4,34.93,-79.78,"Richmond County NC"
"1990-04-01 18:45:00",0.75,1.91,19.05,34.8,-79.53,"Scotland County NC"
"1990-04-01 19:00:00",0.75,1.91,19.05,35.27,-81.18,"Gaston County NC"
"1990-04-01 19:18:00",1.75,4.45,44.45,35.3,-81.02,"Gaston County NC"
"1990-04-01 19:25:00",1,2.54,25.4,35.32,-80.85,"Mecklenburg County NC"
"1990-04-01 20:34:00",1,2.54,25.4,34.98,-80.57,"Union County NC"
"1990-04-01 20:52:00",1.75,4.45,44.45,34.97,-80.1,"Anson County NC"
"1990-04-01 21:13:00",0.75,1.91,19.05,35.05,-79.15,"Hoke County NC"
"1990-04-02 14:20:00",0.75,1.91,19.05,36.33,-80.4,"Stokes County NC"
"1990-04-02 15:07:00",1.75,4.45,44.45,35.35,-79.45,"Moore County NC"
"1990-04-02 16:30:00",1.5,3.81,38.1,35.08,-78.98,"Cumberland County NC"
"1990-04-02 16:46:00",1,2.54,25.4,36.18,-78.93,"Durham County NC"
"1990-04-02 17:00:00",1.5,3.81,38.1,35,-78.65,"Sampson County NC"
"1990-04-02 18:18:00",1.75,4.45,44.45,36.1,-79.28,"Alamance County NC"
"1990-04-02 18:55:00",1.75,4.45,44.45,36.25,-78.67,"Granville County NC"
"1990-04-02 19:00:00",1.75,4.45,44.45,36.23,-78.43,"Vance County NC"
"1990-04-02 19:26:00",0.75,1.91,19.05,36.02,-78.92,"Durham County NC"
"1990-04-02 20:00:00",1.75,4.45,44.45,35.82,-78.33,"Wake County NC"
"1990-04-02 20:05:00",0.75,1.91,19.05,36.08,-79.1,"Orange County NC"
"1990-04-02 22:40:00",0.75,1.91,19.05,35.07,-78.9,"Cumberland County NC"
"1990-04-30 16:45:00",0.75,1.91,19.05,34.27,-78.67,"Columbus County NC"
"1990-04-30 19:00:00",1,2.54,25.4,34.08,-78.2,"Brunswick County NC"
"1990-04-30 20:00:00",0.75,1.91,19.05,34.77,-79.45,"Scotland County NC"
"1990-04-30 20:30:00",1.75,4.45,44.45,34.62,-79,"Robeson County NC"
"1990-04-30 21:00:00",0.75,1.91,19.05,34.53,-78.8,"Bladen County NC"
"1990-04-30 21:25:00",1,2.54,25.4,34.03,-78.73,"Columbus County NC"
"1990-04-30 22:30:00",0.75,1.91,19.05,34.53,-79.28,"Robeson County NC"
"1990-05-01 14:50:00",1.5,3.81,38.1,36.07,-81.25,"Wilkes County NC"
"1990-05-01 15:30:00",1,2.54,25.4,36.42,-80.22,"Stokes County NC"
"1990-05-01 16:00:00",1,2.54,25.4,35.82,-81.53,"Caldwell County NC"
"1990-05-01 16:10:00",1.75,4.45,44.45,35.37,-81.97,"Rutherford County NC"
"1990-05-01 16:15:00",1,2.54,25.4,36.37,-79.7,"Rockingham County NC"
"1990-05-01 16:30:00",1,2.54,25.4,36.22,-79.68,"Guilford County NC"
"1990-05-01 16:45:00",1,2.54,25.4,36.12,-79.55,"Guilford County NC"
"1990-05-01 17:10:00",1,2.54,25.4,35.42,-82.2,"Rutherford County NC"
"1990-05-01 17:22:00",0.75,1.91,19.05,35.38,-81.38,"Gaston County NC"
"1990-05-01 18:35:00",1,2.54,25.4,35.23,-80.85,"Mecklenburg County NC"
"1990-05-01 20:45:00",0.75,1.91,19.05,34.83,-78.45,"Sampson County NC"
"1990-05-02 15:32:00",1,2.54,25.4,35.15,-82.83,"Transylvania County NC"
"1990-05-02 15:56:00",1,2.54,25.4,35.15,-82.65,"Transylvania County NC"
"1990-05-02 16:33:00",1,2.54,25.4,35.95,-81.18,"Alexander County NC"
"1990-05-02 17:19:00",1.75,4.45,44.45,35.98,-80.57,"Davie County NC"
"1990-05-02 18:33:00",1.75,4.45,44.45,35.7,-80.43,"Rowan County NC"
"1990-05-02 18:40:00",1.5,3.81,38.1,35.78,-80.2,"Davidson County NC"
"1990-05-02 19:00:00",1.75,4.45,44.45,35.93,-81.17,"Alexander County NC"
"1990-05-02 19:38:00",0.75,1.91,19.05,35.78,-80.9,"Iredell County NC"
"1990-05-02 20:49:00",1.25,3.18,31.75,35.13,-80.38,"Union County NC"
"1990-05-02 21:30:00",0.75,1.91,19.05,35.15,-80.15,"Anson County NC"
"1990-05-04 16:00:00",1,2.54,25.4,35.97,-78,"Nash County NC"
"1990-05-05 18:30:00",1.25,3.18,31.75,36.13,-77.42,"Halifax County NC"
"1990-05-20 16:33:00",1.75,4.45,44.45,35.57,-77.28,"Pitt County NC"
"1990-05-20 17:00:00",1.75,4.45,44.45,35.18,-77.13,"Craven County NC"
"1990-05-20 17:55:00",1,2.54,25.4,34.9,-77.55,"Onslow County NC"
"1990-05-21 14:49:00",1,2.54,25.4,35.3,-81.7,"Cleveland County NC"
"1990-05-21 15:05:00",0.75,1.91,19.05,35.3,-81.55,"Cleveland County NC"
"1990-05-21 15:30:00",1,2.54,25.4,35.25,-81.35,"Cleveland County NC"
"1990-05-21 18:25:00",0.75,1.91,19.05,34.87,-80.57,"Union County NC"
"1990-05-21 19:00:00",0.75,1.91,19.05,35.47,-81.27,"Lincoln County NC"
"1990-05-27 15:30:00",1,2.54,25.4,36.37,-79.87,"Rockingham County NC"
"1990-05-27 15:50:00",1,2.54,25.4,36.22,-79.72,"Guilford County NC"
"1990-05-27 16:10:00",1.75,4.45,44.45,36.15,-79.8,"Guilford County NC"
"1990-05-28 17:25:00",0.75,1.91,19.05,35.73,-81.22,"Catawba County NC"
"1990-05-28 18:00:00",1.75,4.45,44.45,35.83,-80.87,"Iredell County NC"
"1990-05-28 18:32:00",1.75,4.45,44.45,35.72,-81.15,"Catawba County NC"
"1990-06-03 17:10:00",1.75,4.45,44.45,35.8,-78.67,"Wake County NC"
"1990-06-08 14:12:00",1,2.54,25.4,35.7,-81.22,"Catawba County NC"
"1990-06-08 14:21:00",1.25,3.18,31.75,35.97,-81.55,"Caldwell County NC"
"1990-06-08 14:25:00",1.75,4.45,44.45,35.92,-79.97,"Randolph County NC"
"1990-06-08 14:30:00",2,5.08,50.8,35.68,-81.22,"Catawba County NC"
"1990-06-08 15:58:00",1,2.54,25.4,35.43,-81.27,"Lincoln County NC"
"1990-06-08 16:18:00",0.75,1.91,19.05,35.4,-81.38,"Gaston County NC"
"1990-06-08 17:00:00",1,2.54,25.4,35.38,-81.38,"Gaston County NC"
"1990-06-08 18:55:00",1.5,3.81,38.1,35.58,-82.62,"Buncombe County NC"
"1990-06-09 18:44:00",1,2.54,25.4,36.5,-79.15,"Caswell County NC"
"1990-06-10 17:00:00",1.75,4.45,44.45,34.23,-78.97,"Columbus County NC"
"1990-06-19 15:10:00",1.25,3.18,31.75,35.47,-75.65,"Dare County NC"
"1990-06-22 02:26:00",1.75,4.45,44.45,35.7,-75.73,"Dare County NC"
"1990-06-22 12:19:00",1,2.54,25.4,35.73,-81.32,"Catawba County NC"
"1990-07-01 13:45:00",1.75,4.45,44.45,35.32,-81.18,"Gaston County NC"
"1990-07-01 13:58:00",1.75,4.45,44.45,36.07,-79.8,"Guilford County NC"
"1990-07-01 14:10:00",0.75,1.91,19.05,35.23,-80.85,"Mecklenburg County NC"
"1990-07-01 14:25:00",1.75,4.45,44.45,35.72,-79.18,"Chatham County NC"
"1990-07-01 14:30:00",1.75,4.45,44.45,36.43,-76.62,"Gates County NC"
"1990-07-01 14:40:00",0.75,1.91,19.05,35.37,-78.87,"Harnett County NC"
"1990-07-01 14:45:00",1.75,4.45,44.45,36.33,-77.07,"Hertford County NC"
"1990-07-01 14:55:00",0.75,1.91,19.05,35.48,-79.17,"Lee County NC"
"1990-07-01 15:45:00",2.5,6.35,63.5,35.98,-78.52,"Wake County NC"
"1990-07-01 16:00:00",2.25,5.72,57.15,36.13,-78.75,"Granville County NC"
"1990-07-01 19:00:00",1,2.54,25.4,35.2,-75.7,"Dare County NC"
"1990-07-01 19:30:00",1.75,4.45,44.45,36.57,-77.52,"Northampton County NC"
"1990-07-06 18:20:00",1.75,4.45,44.45,35.18,-77.33,"Craven County NC"
"1990-07-08 17:38:00",1,2.54,25.4,35.4,-80.45,"Cabarrus County NC"
"1990-07-10 16:10:00",1,2.54,25.4,35.23,-80.85,"Mecklenburg County NC"
"1990-07-12 18:45:00",1.25,3.18,31.75,35.73,-77.92,"Wilson County NC"
"1990-08-15 15:06:00",1.25,3.18,31.75,35.23,-80.85,"Mecklenburg County NC"
"1990-08-16 11:00:00",1,2.54,25.4,35.88,-79.43,"Alamance County NC"
"1990-08-16 12:31:00",0.75,1.91,19.05,35.62,-79.08,"Chatham County NC"
"1990-08-16 13:45:00",0.75,1.91,19.05,35.25,-79.28,"Moore County NC"
"1990-08-21 13:00:00",0.75,1.91,19.05,35.7,-82.07,"McDowell County NC"
"1990-08-21 13:25:00",0.75,1.91,19.05,35.6,-82.6,"Buncombe County NC"
"1990-08-21 13:30:00",0.75,1.91,19.05,35.32,-82.48,"Henderson County NC"
"1990-08-29 12:45:00",1.75,4.45,44.45,36.42,-79.78,"Rockingham County NC"
"1990-08-29 14:20:00",0.75,1.91,19.05,35.78,-78.8,"Wake County NC"
"1990-08-29 14:35:00",0.75,1.91,19.05,35.8,-78.67,"Wake County NC"
"1990-08-29 16:25:00",1,2.54,25.4,35.5,-78.35,"Johnston County NC"
"1990-08-29 17:43:00",0.75,1.91,19.05,35.65,-78.47,"Johnston County NC"
"1990-08-29 21:30:00",0.75,1.91,19.05,34.53,-78.8,"Bladen County NC"
"1990-08-29 22:13:00",1,2.54,25.4,34.53,-78.8,"Bladen County NC"
"1990-08-29 22:25:00",0.75,1.91,19.05,34.63,-78.62,"Bladen County NC"
"1990-08-29 22:55:00",0.75,1.91,19.05,34.65,-78.05,"Pender County NC"
"1990-09-07 16:50:00",0.75,1.91,19.05,36.4,-78.98,"Person County NC"
"1990-09-08 17:05:00",0.75,1.91,19.05,35.7,-81.22,"Catawba County NC"
"1990-09-08 17:30:00",0.75,1.91,19.05,35.48,-81.25,"Lincoln County NC"
"1990-09-10 15:05:00",0.75,1.91,19.05,35.48,-81.52,"Cleveland County NC"
"1990-09-10 15:37:00",0.75,1.91,19.05,34.97,-79.97,"Anson County NC"
"1990-09-10 17:00:00",0.75,1.91,19.05,35.45,-80.23,"Stanly County NC"
"1990-09-10 20:50:00",1,2.54,25.4,35.62,-77.35,"Pitt County NC"
"1990-10-25 11:30:00",0.88,2.24,22.35,35.27,-80.43,"Stanly County NC"
"1990-10-25 18:05:00",1,2.54,25.4,35.07,-77.47,"Jones County NC"
"1991-01-16 10:40:00",0.75,1.91,19.05,35.13,-79.43,"Moore County NC"
"1991-03-13 19:20:00",0.75,1.91,19.05,34.93,-80.67,"Union County NC"
"1991-03-13 21:55:00",1.75,4.45,44.45,35.05,-79.22,"Hoke County NC"
"1991-03-13 22:30:00",0.75,1.91,19.05,34.98,-79.22,"Hoke County NC"
"1991-03-23 10:00:00",0.75,1.91,19.05,36.43,-80.27,"Stokes County NC"
"1991-03-23 10:15:00",1.75,4.45,44.45,36.42,-79.78,"Rockingham County NC"
"1991-03-29 09:00:00",1.5,3.81,38.1,36.37,-76.13,"Camden County NC"
"1991-03-29 10:30:00",1,2.54,25.4,35.93,-76.47,"Washington County NC"
"1991-04-08 12:15:00",0.75,1.91,19.05,35.7,-80.43,"Rowan County NC"
"1991-04-08 13:09:00",0.75,1.91,19.05,35.88,-80.08,"Davidson County NC"
"1991-04-09 15:30:00",0.75,1.91,19.05,35.18,-83.93,"Cherokee County NC"
"1991-04-09 15:35:00",0.75,1.91,19.05,35.33,-83.82,"Graham County NC"
"1991-04-09 16:50:00",1,2.54,25.4,36.47,-81.13,"Alleghany County NC"
"1991-04-17 14:25:00",0.75,1.91,19.05,34.15,-78.88,"Columbus County NC"
"1991-04-29 14:07:00",1,2.54,25.4,36.17,-80.18,"Forsyth County NC"
"1991-04-29 14:40:00",1.75,4.45,44.45,35.7,-81.22,"Catawba County NC"
"1991-04-29 17:15:00",0.75,1.91,19.05,35.73,-82.55,"Buncombe County NC"
"1991-04-30 13:40:00",0.75,1.91,19.05,33.93,-78.5,"Brunswick County NC"
"1991-04-30 16:01:00",1,2.54,25.4,35.55,-76.82,"Beaufort County NC"
"1991-04-30 16:47:00",1,2.54,25.4,34.42,-78.9,"Columbus County NC"
"1991-04-30 17:05:00",0.75,1.91,19.05,34.53,-78.8,"Bladen County NC"
"1991-05-01 13:50:00",1.75,4.45,44.45,35.3,-77.63,"Lenoir County NC"
"1991-05-01 14:26:00",0.88,2.24,22.35,35.8,-77.38,"Pitt County NC"
"1991-05-01 14:30:00",0.75,1.91,19.05,35.22,-77.07,"Craven County NC"
"1991-05-01 14:40:00",2,5.08,50.8,35.83,-77.25,"Martin County NC"
"1991-07-02 13:30:00",1,2.54,25.4,35.3,-82.63,"Transylvania County NC"
"1991-07-08 17:00:00",1,2.54,25.4,35.73,-81.32,"Catawba County NC"
"1991-07-24 22:15:00",1.75,4.45,44.45,35.12,-80.12,"Anson County NC"
"1991-08-04 15:15:00",0.88,2.24,22.35,35.55,-80.87,"Iredell County NC"
"1991-08-04 16:57:00",0.75,1.91,19.05,36.08,-79.12,"Orange County NC"
"1991-08-07 16:47:00",0.88,2.24,22.35,35.37,-80.53,"Cabarrus County NC"
"1991-08-07 17:15:00",1.75,4.45,44.45,35.88,-80.08,"Davidson County NC"
"1991-09-06 23:45:00",0.75,1.91,19.05,36.53,-79.92,"Rockingham County NC"
"1992-03-07 13:59:00",1.5,3.81,38.1,35.3,-81.55,"Cleveland County NC"
"1992-03-07 14:08:00",2,5.08,50.8,35.18,-81.4,"Cleveland County NC"
"1992-03-07 14:26:00",1.5,3.81,38.1,35.73,-81.32,"Catawba County NC"
"1992-03-07 14:35:00",1,2.54,25.4,35.23,-81.28,"Gaston County NC"
"1992-03-07 14:42:00",1,2.54,25.4,35.23,-81.35,"Cleveland County NC"
"1992-03-07 14:53:00",0.75,1.91,19.05,35.5,-80.85,"Mecklenburg County NC"
"1992-03-07 14:54:00",1.25,3.18,31.75,35.2,-81.25,"Gaston County NC"
"1992-03-07 14:55:00",1.75,4.45,44.45,35.68,-81.22,"Catawba County NC"
"1992-03-07 15:20:00",1,2.54,25.4,36.07,-80.85,"Yadkin County NC"
"1992-03-07 15:53:00",0.75,1.91,19.05,35.5,-80.85,"Mecklenburg County NC"
"1992-03-07 16:05:00",1,2.54,25.4,35.97,-80.63,"Davie County NC"
"1992-03-07 17:20:00",0.75,1.91,19.05,35.57,-80.6,"Rowan County NC"
"1992-03-07 17:38:00",1.75,4.45,44.45,35.57,-80.37,"Rowan County NC"
"1992-03-07 18:05:00",0.75,1.91,19.05,35.72,-80.45,"Rowan County NC"
"1992-03-07 22:05:00",0.75,1.91,19.05,35.9,-77.53,"Edgecombe County NC"
"1992-03-10 20:30:00",0.75,1.91,19.05,35.25,-81.68,"Cleveland County NC"
"1992-03-10 21:55:00",1.25,3.18,31.75,35.92,-80.53,"Davie County NC"
"1992-03-19 09:40:00",1.25,3.18,31.75,35.08,-84.03,"Cherokee County NC"
"1992-03-19 10:47:00",0.88,2.24,22.35,35.17,-83.43,"Macon County NC"
"1992-03-19 12:50:00",1.75,4.45,44.45,35.68,-81.22,"Catawba County NC"
"1992-03-19 13:12:00",0.75,1.91,19.05,35.12,-80.73,"Mecklenburg County NC"
"1992-03-19 13:15:00",1,2.54,25.4,35.67,-80.53,"Rowan County NC"
"1992-03-19 14:00:00",0.75,1.91,19.05,35.02,-78.52,"Sampson County NC"
"1992-03-19 14:05:00",0.75,1.91,19.05,35.82,-80.27,"Davidson County NC"
"1992-03-19 14:15:00",1,2.54,25.4,35.28,-81.28,"Gaston County NC"
"1992-03-19 14:35:00",1.75,4.45,44.45,35.17,-79.73,"Richmond County NC"
"1992-03-19 14:36:00",1.75,4.45,44.45,35.25,-79.57,"Moore County NC"
"1992-03-19 14:57:00",1.75,4.45,44.45,34.95,-77.95,"Duplin County NC"
"1992-03-19 14:58:00",0.75,1.91,19.05,35.23,-80.75,"Mecklenburg County NC"
"1992-03-19 15:00:00",1.75,4.45,44.45,34.62,-79.07,"Robeson County NC"
"1992-03-19 15:06:00",0.88,2.24,22.35,35.73,-79.45,"Chatham County NC"
"1992-03-19 15:10:00",0.75,1.91,19.05,34.92,-77.77,"Duplin County NC"
"1992-03-19 15:16:00",0.75,1.91,19.05,34.83,-78.95,"Robeson County NC"
"1992-03-19 15:20:00",1.75,4.45,44.45,35.53,-77.28,"Pitt County NC"
"1992-03-19 15:50:00",0.88,2.24,22.35,36.37,-79.03,"Person County NC"
"1992-03-19 16:00:00",0.75,1.91,19.05,35.28,-77.62,"Lenoir County NC"
"1992-03-19 16:15:00",0.75,1.91,19.05,35.97,-77.68,"Edgecombe County NC"
"1992-03-19 16:28:00",0.88,2.24,22.35,35.72,-77.5,"Pitt County NC"
"1992-03-19 16:42:00",0.88,2.24,22.35,35.5,-77.23,"Pitt County NC"
"1992-04-16 14:30:00",0.75,1.91,19.05,36.15,-80.85,"Wilkes County NC"
"1992-04-24 18:24:00",0.75,1.91,19.05,35.35,-80.28,"Stanly County NC"
"1992-04-24 20:15:00",0.75,1.91,19.05,35.5,-80.07,"Montgomery County NC"
"1992-04-30 16:30:00",1.75,4.45,44.45,35.42,-80.7,"Cabarrus County NC"
"1992-04-30 16:45:00",0.75,1.91,19.05,36.08,-79.97,"Guilford County NC"
"1992-05-13 13:00:00",0.75,1.91,19.05,35.32,-81.52,"Cleveland County NC"
"1992-05-16 15:55:00",2,5.08,50.8,36.48,-77.43,"Northampton County NC"
"1992-05-16 16:15:00",1.75,4.45,44.45,35.1,-76.72,"Pamlico County NC"
"1992-05-18 16:25:00",0.75,1.91,19.05,35.33,-79.12,"Harnett County NC"
"1992-05-18 17:30:00",0.75,1.91,19.05,35.6,-77.6,"Pitt County NC"
"1992-05-18 18:05:00",1.75,4.45,44.45,35.35,-77.48,"Lenoir County NC"
"1992-06-08 17:39:00",0.75,1.91,19.05,35.27,-81.18,"Gaston County NC"
"1992-06-19 15:40:00",0.75,1.91,19.05,36,-79.07,"Orange County NC"
"1992-06-19 17:30:00",0.75,1.91,19.05,35.48,-79.17,"Lee County NC"
"1992-06-19 18:30:00",0.75,1.91,19.05,35.45,-78.97,"Harnett County NC"
"1992-06-19 21:00:00",0.75,1.91,19.05,35.25,-78.15,"Wayne County NC"
"1992-06-20 12:33:00",0.75,1.91,19.05,34.88,-76.88,"Craven County NC"
"1992-06-20 16:00:00",0.75,1.91,19.05,35.3,-77.63,"Lenoir County NC"
"1992-06-20 17:10:00",0.75,1.91,19.05,35.35,-77.38,"Pitt County NC"
"1992-06-20 19:30:00",1,2.54,25.4,36.33,-77.7,"Halifax County NC"
"1992-06-21 07:50:00",1.75,4.45,44.45,35.28,-79.35,"Moore County NC"
"1992-06-21 09:20:00",1.75,4.45,44.45,35.18,-78.57,"Sampson County NC"
"1992-06-21 09:45:00",1.75,4.45,44.45,35,-78.33,"Sampson County NC"
"1992-06-21 10:40:00",0.88,2.24,22.35,35.45,-77.68,"Greene County NC"
"1992-06-21 11:10:00",0.75,1.91,19.05,34.82,-78.03,"Duplin County NC"
"1992-06-21 12:05:00",2.5,6.35,63.5,34.82,-77.55,"Onslow County NC"
"1992-06-21 12:30:00",1.75,4.45,44.45,34.58,-77.48,"Onslow County NC"
"1992-06-21 13:15:00",0.75,1.91,19.05,34.53,-78.8,"Bladen County NC"
"1992-06-21 13:30:00",0.75,1.91,19.05,34.32,-78.15,"Brunswick County NC"
"1992-06-21 13:45:00",0.88,2.24,22.35,34.23,-77.93,"New Hanover County NC"
"1992-06-21 14:23:00",1.75,4.45,44.45,35.27,-81.18,"Gaston County NC"
"1992-06-21 14:35:00",1.75,4.45,44.45,34.9,-78.33,"Sampson County NC"
"1992-06-21 15:25:00",2.5,6.35,63.5,34.97,-77.92,"Duplin County NC"
"1992-06-21 16:20:00",0.75,1.91,19.05,35.08,-80.9,"Mecklenburg County NC"
"1992-06-24 14:25:00",0.75,1.91,19.05,36.2,-78.95,"Durham County NC"
"1992-06-24 15:15:00",1.75,4.45,44.45,36.42,-78.17,"Warren County NC"
"1992-06-24 16:25:00",0.75,1.91,19.05,36.08,-79.12,"Orange County NC"
"1992-06-24 18:10:00",1.5,3.81,38.1,35.72,-77.38,"Pitt County NC"
"1992-06-26 10:50:00",1.75,4.45,44.45,35.92,-77.82,"Nash County NC"
"1992-06-26 11:00:00",0.75,1.91,19.05,35.78,-78.67,"Wake County NC"
"1992-06-26 11:05:00",0.88,2.24,22.35,35.93,-77.72,"Edgecombe County NC"
"1992-06-26 13:05:00",1,2.54,25.4,35.73,-78.87,"Wake County NC"
"1992-06-26 15:00:00",0.75,1.91,19.05,35.88,-79.58,"Randolph County NC"
"1992-07-03 15:15:00",0.75,1.91,19.05,35.77,-79.77,"Randolph County NC"
"1992-07-03 16:35:00",0.75,1.91,19.05,35.15,-80.55,"Union County NC"
"1992-07-03 17:10:00",1,2.54,25.4,35,-79.45,"Scotland County NC"
"1992-07-03 21:10:00",0.75,1.91,19.05,35.67,-80.5,"Rowan County NC"
"1992-07-05 20:55:00",0.75,1.91,19.05,35.53,-78.88,"Harnett County NC"
"1992-07-12 12:45:00",1.75,4.45,44.45,35.95,-75.65,"Dare County NC"
"1992-07-18 16:20:00",1.75,4.45,44.45,35.43,-79.6,"Moore County NC"
"1992-07-18 16:57:00",1.75,4.45,44.45,35.43,-79.6,"Moore County NC"
"1992-07-18 17:55:00",0.75,1.91,19.05,35.45,-77.68,"Greene County NC"
"1992-07-26 16:45:00",0.75,1.91,19.05,35.5,-78.75,"Harnett County NC"
"1992-07-26 17:05:00",1.5,3.81,38.1,35.62,-78.8,"Wake County NC"
"1992-07-27 16:50:00",0.75,1.91,19.05,35.82,-80.9,"Iredell County NC"
"1992-07-31 01:45:00",0.75,1.91,19.05,36.05,-77.68,"Edgecombe County NC"
"1992-08-05 16:55:00",1,2.54,25.4,35.45,-77.68,"Greene County NC"
"1992-08-12 14:35:00",0.75,1.91,19.05,35.57,-79.47,"Chatham County NC"
"1992-09-04 17:15:00",1,2.54,25.4,35.8,-78.6,"Wake County NC"
"1992-09-10 19:30:00",0.75,1.91,19.05,35.42,-81.55,"Cleveland County NC"
"1992-09-10 19:55:00",0.75,1.91,19.05,35.27,-81.55,"Cleveland County NC"
"1992-11-22 23:12:00",0.75,1.91,19.05,35.7,-79.47,"Chatham County NC"
"1992-11-25 14:00:00",0.75,1.91,19.05,35.37,-78.87,"Harnett County NC"
"1993-02-21 17:45:00",1.75,4.45,44.45,35.43,-83.95,"Graham County NC"
"1993-02-21 18:45:00",0.75,1.91,19.05,35.28,-83.67,"Swain County NC"
"1993-02-21 19:00:00",0.75,1.91,19.05,35.68,-83.02,"Haywood County NC"
"1993-03-24 13:35:00",1,2.54,25.4,34.92,-80.75,"Union County NC"
"1993-03-24 14:08:00",1.75,4.45,44.45,35.37,-80.22,"Stanly County NC"
"1993-03-24 14:58:00",1,2.54,25.4,35,-80.2,"Anson County NC"
"1993-03-24 15:40:00",1,2.54,25.4,35.37,-79.9,"Montgomery County NC"
"1993-03-24 16:00:00",1,2.54,25.4,34.97,-79.83,"Richmond County NC"
"1993-03-24 16:25:00",0.75,1.91,19.05,35.2,-79.6,"Moore County NC"
"1993-03-24 17:32:00",0.88,2.24,22.35,34.88,-78.05,"Duplin County NC"
"1993-03-24 17:40:00",0.75,1.91,19.05,35.05,-79.15,"Hoke County NC"
"1993-03-24 17:50:00",0.75,1.91,19.05,34.97,-78.95,"Cumberland County NC"
"1993-03-24 18:10:00",0.75,1.91,19.05,35.12,-79,"Cumberland County NC"
"1993-03-24 18:53:00",0.75,1.91,19.05,34.88,-77.5,"Onslow County NC"
"1993-03-27 13:25:00",1.75,4.45,44.45,35.72,-79.23,"Chatham County NC"
"1993-03-27 14:25:00",1.75,4.45,44.45,35.17,-79,"Cumberland County NC"
"1993-03-27 14:50:00",0.75,1.91,19.05,35.7,-78.78,"Wake County NC"
"1993-03-27 15:20:00",1,2.54,25.4,36.4,-80.72,"Surry County NC"
"1993-03-27 15:24:00",0.75,1.91,19.05,35.87,-78.93,"Durham County NC"
"1993-03-31 15:45:00",1.75,4.45,44.45,35.08,-84.1,"Cherokee County NC"
"1993-03-31 16:50:00",0.75,1.91,19.05,35.28,-83.82,"Graham County NC"
"1993-03-31 17:15:00",0.88,2.24,22.35,35.32,-82.48,"Henderson County NC"
"1993-03-31 17:30:00",1,2.54,25.4,35.17,-83.43,"Macon County NC"
"1993-03-31 17:45:00",1.75,4.45,44.45,35.12,-83.1,"Jackson County NC"
"1993-03-31 18:30:00",0.75,1.91,19.05,35.37,-81.97,"Rutherford County NC"
"1993-03-31 18:46:00",0.75,1.91,19.05,35.43,-81.63,"Cleveland County NC"
"1993-03-31 19:40:00",0.75,1.91,19.05,35.48,-81.22,"Lincoln County NC"
"1993-03-31 20:00:00",1.75,4.45,44.45,35.13,-82.95,"Transylvania County NC"
"1993-03-31 20:15:00",0.75,1.91,19.05,35.25,-82.72,"Transylvania County NC"
"1993-03-31 20:30:00",0.75,1.91,19.05,35.35,-82.47,"Henderson County NC"
"1993-03-31 20:43:00",0.75,1.91,19.05,35.05,-83.2,"Macon County NC"
"1993-03-31 21:15:00",1,2.54,25.4,35.37,-81.97,"Rutherford County NC"
"1993-04-01 02:10:00",1,2.54,25.4,35.62,-80.45,"Rowan County NC"
"1993-04-01 02:30:00",1,2.54,25.4,35.82,-80.27,"Davidson County NC"
"1993-04-01 03:30:00",1.75,4.45,44.45,36.5,-79.75,"Rockingham County NC"
"1993-04-15 19:26:00",0.88,2.24,22.35,35.5,-83.45,"Swain County NC"
"1993-04-15 19:28:00",1,2.54,25.4,35.38,-83.22,"Jackson County NC"
"1993-04-16 00:40:00",1,2.54,25.4,34.98,-80.63,"Union County NC"
"1993-04-16 00:50:00",1,2.54,25.4,35.42,-80.42,"Cabarrus County NC"
"1993-04-21 12:20:00",0.75,1.91,19.05,35.83,-80.87,"Iredell County NC"
"1993-04-21 12:35:00",0.75,1.91,19.05,35.78,-80.9,"Iredell County NC"
"1993-04-21 18:15:00",0.75,1.91,19.05,36.02,-78.92,"Durham County NC"
"1993-04-21 19:00:00",0.75,1.91,19.05,36.32,-78.58,"Granville County NC"
"1993-04-26 13:55:00",1.75,4.45,44.45,35.48,-79.18,"Lee County NC"
"1993-04-26 14:40:00",0.75,1.91,19.05,35.4,-78.83,"Harnett County NC"
"1993-04-26 14:45:00",0.75,1.91,19.05,35.5,-78.6,"Johnston County NC"
"1993-05-04 13:22:00",0.75,1.91,19.05,35.4,-81.2,"Lincoln County NC"
"1993-05-05 19:05:00",1,2.54,25.4,36.5,-79.37,"Caswell County NC"
"1993-05-05 19:34:00",0.75,1.91,19.05,36.4,-79.33,"Caswell County NC"
"1993-05-05 21:30:00",0.75,1.91,19.05,36.32,-78.75,"Granville County NC"
"1993-05-05 22:58:00",0.75,1.91,19.05,36.1,-78.3,"Franklin County NC"
"1993-05-13 13:20:00",0.88,2.24,22.35,35.32,-82.45,"Henderson County NC"
"1993-05-13 13:30:00",0.88,2.24,22.35,35.37,-81.85,"Rutherford County NC"
