Observation Time,Maximum Category,Path Length (miles),Path Width (yards),Injuries,Fatalities,Monetary Loss,Origin Latitude,Origin Longitude,Track End Latitude,Track End Longitude,Affected Counties
3/28/1984 19:30,F-3,9,527,81,0,"$7,000 ",35.2,-77.9,35.32,-77.78,Wayne County NC; Lenoir County NC
3/28/1984 19:45,F-4,28,1223,153,16,"$7,000 ",35.33,-77.78,35.68,-77.2,Lenoir County NC; Greene County NC; Pitt County NC
3/28/1984 19:55,F-3,6,880,19,6,"$6,000 ",36.13,-77.2,36.2,-77.1,Bertie County NC
3/28/1984 20:10,F-2,5,527,7,0,"$7,000 ",36.23,-77,36.3,-76.88,Bertie County NC; Hertford County NC
3/28/1984 20:20,F-1,1,177,0,0,"$6,000 ",36.33,-76.8,0,0,Hertford County NC
3/28/1984 20:30,F-3,14,880,10,2,"$6,000 ",36.37,-76.7,36.47,-76.5,Gates County NC
3/28/1984 20:45,F-2,9,353,0,0,"$6,000 ",34.15,-78.88,34.25,-78.73,Columbus County NC
3/28/1984 21:15,F-2,6,177,1,1,"$5,000 ",36.07,-76.58,36.1,-76.5,Chowan County NC; Perquimans County NC
4/4/1984 18:00,F-2,1.7,67,4,0,"$6,000 ",36.02,-78.88,0,0,Durham County NC
4/14/1984 14:55,F-1,0.1,10,0,0,"$4,000 ",36.37,-80.62,0,0,Surry County NC
4/14/1984 17:20,F-1,0.1,50,0,0,"$4,000 ",34.6,-79.42,0,0,Scotland County NC
4/15/1984 15:50,F-1,0.1,83,0,0,"$5,000 ",35.6,-77.03,0,0,Beaufort County NC
4/15/1984 16:35,F-1,0.6,10,0,0,"$4,000 ",35.73,-76.8,0,0,Washington County NC
5/3/1984 15:45,F-1,14,100,0,0,"$5,000 ",35.1,-80.95,35.28,-80.83,Mecklenburg County NC
5/8/1984 14:35,F-1,0.3,50,0,0,"$5,000 ",36.22,-78.3,0,0,Franklin County NC
5/28/1984 17:45,F-0,0.1,50,0,0,"$3,000 ",36.38,-80.25,0,0,Stokes County NC
6/20/1984 13:00,F-0,0.3,100,0,0,"$5,000 ",35.22,-82.73,0,0,Transylvania County NC
9/13/1984 8:15,F-0,0.1,10,0,0,$0 or unknown,35.87,-77.83,0,0,Nash County NC
5/22/1985 16:30,F-3,3.5,200,0,0,"$6,000 ",36.1,-80.27,36.07,-80.22,Forsyth County NC
5/23/1985 14:08,F-0,0.5,50,0,0,"$3,000 ",35.83,-75.63,0,0,Dare County NC
6/6/1985 16:20,F-0,1,267,0,0,"$5,000 ",35.2,-80.83,0,0,Mecklenburg County NC
8/17/1985 22:45,F-0,4,100,0,0,"$4,000 ",35.57,-79.47,35.63,-79.47,Chatham County NC
8/18/1985 13:45,F-1,0.2,150,0,0,"$4,000 ",35.08,-77.75,0,0,Duplin County NC
8/18/1985 16:00,F-0,0.2,50,7,0,"$5,000 ",36.47,-77.5,0,0,Northampton County NC
11/4/1985 8:12,F-0,0.2,20,0,0,"$3,000 ",35.12,-75.98,0,0,Hyde County NC
11/4/1985 9:30,F-0,0.2,20,0,0,"$3,000 ",35.2,-75.7,0,0,Dare County NC
3/14/1986 7:50,F-0,0.5,100,0,0,"$4,000 ",34.57,-77.38,0,0,Onslow County NC
3/14/1986 9:40,F-1,1.2,100,0,0,"$4,000 ",34.72,-77.23,0,0,Onslow County NC
3/14/1986 15:55,F-1,0.5,50,0,0,"$4,000 ",35.95,-78.58,0,0,Wake County NC
5/19/1986 14:00,F-2,19,100,5,0,"$5,000 ",34.87,-79.22,35.05,-79.03,Hoke County NC; Cumberland County NC
6/17/1986 14:30,F-0,0.2,13,0,0,"$3,000 ",35.45,-76.17,0,0,Hyde County NC
6/17/1986 14:45,F-2,0.5,60,0,0,"$5,000 ",35.45,-76.17,0,0,Hyde County NC
6/20/1986 12:15,F-0,2,100,0,0,"$3,000 ",35.83,-75.63,0,0,Dare County NC
6/20/1986 12:35,F-0,0.5,50,0,0,$0 or unknown,35.5,-75.9,0,0,Hyde County NC
6/20/1986 12:46,F-0,0.2,23,0,0,$0 or unknown,35.5,-75.48,0,0,Dare County NC
6/28/1986 12:20,F-0,1,37,0,0,$0 or unknown,36.4,-76.75,0,0,Gates County NC
6/28/1986 13:19,F-1,1,50,0,0,"$4,000 ",36.18,-76.68,0,0,Chowan County NC
7/1/1986 13:35,F-1,5,150,0,0,"$4,000 ",35.38,-79.05,35.38,-78.95,Harnett County NC
7/1/1986 14:16,F-0,0.2,23,0,0,"$3,000 ",35.52,-78.77,0,0,Harnett County NC
7/2/1986 18:30,F-2,1.5,33,10,3,"$5,000 ",34.75,-77.42,0,0,Onslow County NC
8/20/1986 9:56,F-2,1,23,0,0,"$5,000 ",35.43,-77.93,0,0,Wayne County NC
8/20/1986 12:45,F-0,0.1,13,0,0,$0 or unknown,36.18,-76.88,0,0,Bertie County NC
3/31/1987 4:32,F-2,10,440,7,0,"$6,000 ",35.22,-75.55,35.37,-75.52,Dare County NC
9/13/1987 7:30,F-1,0.2,20,0,0,"$5,000 ",34.7,-76.73,0,0,Carteret County NC
11/10/1987 10:45,F-0,0.5,20,0,0,"$4,000 ",34.77,-77.38,0,0,Onslow County NC
11/10/1987 12:15,F-0,2,20,0,0,"$5,000 ",34.72,-76.7,0,0,Carteret County NC
3/26/1988 15:32,F-0,0.2,50,0,0,"$2,000 ",36.32,-76.62,0,0,Chowan County NC
3/26/1988 19:55,F-0,0.2,13,0,0,$0 or unknown,35.58,-78.9,0,0,Wake County NC
4/19/1988 12:10,F-1,0.6,100,0,0,"$4,000 ",35.08,-76.72,0,0,Pamlico County NC
5/19/1988 19:45,F-0,0.4,50,0,0,"$3,000 ",35.12,-79.35,0,0,Hoke County NC
5/24/1988 14:00,F-1,0.3,50,0,0,"$4,000 ",34.98,-80.57,0,0,Union County NC
6/9/1988 13:39,F-1,0.3,73,0,0,$0 or unknown,35.42,-80,0,0,Montgomery County NC
6/9/1988 16:02,F-1,0.3,73,2,0,"$6,000 ",34.9,-77.53,0,0,Onslow County NC
8/28/1988 12:50,F-1,0.5,73,0,0,"$5,000 ",35.78,-80.9,0,0,Iredell County NC
8/28/1988 14:05,F-1,0.3,40,0,0,"$5,000 ",35.22,-78.9,0,0,Cumberland County NC
8/28/1988 22:30,F-1,0.5,50,1,0,"$5,000 ",36.38,-78.58,0,0,Granville County NC
10/2/1988 10:15,F-0,0.5,60,0,0,"$3,000 ",35.47,-81.45,0,0,Lincoln County NC
11/5/1988 10:15,F-2,2,50,1,0,"$5,000 ",36.3,-76.22,0,0,Pasquotank County NC
11/5/1988 10:30,F-1,1.5,20,0,0,"$5,000 ",36.52,-76.17,0,0,Currituck County NC
11/17/1988 7:00,F-2,9,50,1,0,"$5,000 ",35.88,-76.4,35.93,-76.25,Washington County NC; Tyrrell County NC
11/27/1988 23:00,F-4,83,400,154,4,"$8,000 ",35.87,-78.75,36.45,-77.42,Wake County NC; Franklin County NC; Nash County NC; Halifax County NC
11/28/1988 1:00,F-2,3,100,0,0,"$5,000 ",36.5,-77.32,36.55,-77.27,Northampton County NC
11/28/1988 2:09,F-1,4,50,1,0,"$5,000 ",35.52,-76.23,35.57,-76.18,Hyde County NC
11/28/1988 2:30,F-1,30,100,5,0,"$6,000 ",35.03,-76.72,35.22,-76.57,Pamlico County NC
11/28/1988 3:41,F-0,1,50,0,0,"$5,000 ",35.9,-75.67,0,0,Dare County NC
2/21/1989 11:00,F-1,2,100,0,0,"$5,000 ",34.85,-77.58,0,0,Onslow County NC
2/21/1989 12:10,F-1,0.5,20,0,0,$0 or unknown,36.02,-76.57,0,0,Chowan County NC
3/20/1989 5:15,F-2,0.2,100,0,0,"$5,000 ",34.7,-76.55,0,0,Carteret County NC
3/30/1989 14:45,F-2,22,100,11,0,"$6,000 ",36.37,-77.47,36.48,-77.13,Northampton County NC
5/5/1989 16:35,F-4,6,400,0,0,"$5,000 ",35.18,-81.8,35.25,-81.82,Rutherford County NC
5/5/1989 16:54,F-4,14,800,52,4,"$7,000 ",35.47,-81.58,35.68,-81.42,Cleveland County NC; Lincoln County NC; Catawba County NC
5/5/1989 17:20,F-2,8.7,100,0,0,"$7,000 ",35.92,-78.97,36.03,-78.9,Durham County NC
5/5/1989 17:28,F-2,15,73,0,0,"$5,000 ",35.95,-81.68,36.02,-81.42,Caldwell County NC
5/5/1989 17:43,F-2,0.5,100,8,0,"$6,000 ",36.02,-80.38,0,0,Forsyth County NC
5/5/1989 17:50,F-3,10.5,200,30,0,"$7,000 ",36.1,-80.25,36.22,-80.1,Forsyth County NC
5/5/1989 18:00,F-1,0.3,30,0,0,"$5,000 ",35.3,-80.3,0,0,Stanly County NC
5/5/1989 18:01,F-4,13,500,6,1,"$7,000 ",34.98,-80.73,35.1,-80.55,Union County NC
5/5/1989 18:05,F-2,5.5,100,10,0,"$6,000 ",36.13,-80.22,36.2,-80.13,Forsyth County NC
5/5/1989 18:52,F-1,4.6,300,1,0,"$6,000 ",34.83,-80.1,34.88,-80.03,Anson County NC
6/4/1989 15:00,F-1,0.1,20,1,0,"$5,000 ",36.07,-75.7,0,0,Dare County NC
