STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW
US1NCYD0004,"YADKINVILLE 0.2 E, NC US",36.13089752,-80.65548706,280.4,2021-02,,,,,0.76,6.03,
US1NCYD0003,"YADKINVILLE 6.3 SSE, NC US",36.05318451,-80.60283661,260.6,2021-02,,1,,1,1.19,5.93,1
US1NCPT0007,"WINTERVILLE 3.5 W, NC US",35.5258,-77.4605,25.9,2021-02,,,,,1.43,7.57,
US1NCBD0002,"ELIZABETHTOWN 6.2 NW, NC US",34.6847098,-78.6903913,46,2021-02,,,,,2.09,7.37,
US1NCBD0001,"BLADENBORO 2.0 NNW, NC US",34.565567,-78.811349,39.6,2021-02,,,,,3.22,9.38,
USC00318694,"TRANSOU, NC US",36.40039,-81.30525,863.8,2021-02,9,1,4,3.5,0.85,3.7,3.5
USC00318450,"SWANQUARTER FERRY, NC US",35.395,-76.326,0.9,2021-02,,,,,3,9.3,
US1NCHW0017,"CANTON 1.5 N, NC US",35.56776,-82.83938,847.6,2021-02,,,,,1.16,4.2,
US1NCHW0016,"CLYDE 0.6 SSE, NC US",35.526097,-82.907325,779.7,2021-02,,,,,1.16,4.57,
US1NCCR0001,"NEWPORT 0.2 SW, NC US",34.7857,-76.8633,9.1,2021-02,,,,,1.62,8.13,
US1NCRC0008,"NORMAN 0.4 SSE, NC US",35.16433333,-79.7195,178.6,2021-02,,,,,1.03,7.02,
USR0000NCAS,"CASWELL GAME LANDS N. CAROLINA, NC US",36.3856,-79.2919,176.8,2021-02,,,,,,,
US1NCCR0009,"BEAUFORT 5.3 N, NC US",34.7971,-76.6708,2.1,2021-02,,,,,2.47,12,
USC00311820,"CLAYTON WTP, NC US",35.6408,-78.4633,91.4,2021-02,,,,,1.33,8.87,
USC00319555,"W. KERR SCOTT RESV., NC US",36.1308,-81.2275,326.1,2021-02,0,0,0,0,,5.32,0
US1NCPT0018,"GREENVILLE 7.1 SSE, NC US",35.507226,-77.321396,18,2021-02,,,,,1.6,7.86,
US1NCPT0017,"GREENVILLE 4.6 W, NC US",35.602401,-77.455678,25.3,2021-02,,,,,1.63,8.67,
US1NCHW0002,"MAGGIE VALLEY 2.9 ENE, NC US",35.5389,-83.0467,1051.6,2021-02,4,2,4,3.7,1.31,6.02,5.6
USC00318221,"SPRUCE PINE 4 ENE, NC US",35.93246,-82.00232,850.4,2021-02,1,1,3,3,0.85,4.36,3
US1NCPT0010,"FOUNTAIN 0.1 NE, NC US",35.674598,-77.637674,33.8,2021-02,,,,,1.23,7.36,
US1NCHW0004,"WAYNESVILLE 0.7 ENE, NC US",35.488416,-82.986752,816.9,2021-02,,,,,1.32,6.2,
US1NCRC0013,"HAMLET 0.6 S, NC US",34.880863,-79.709213,105.5,2021-02,,,,,1.38,6.65,
USC00310506,"BANNER ELK, NC US",36.1616,-81.8741,1149.1,2021-02,9,3,6,4.5,0.9,4.33,10.5
US1NCBR0007,"LONG BEACH 2.9 NE, NC US",33.945148,-78.111556,11.9,2021-02,,,,,,8.17,
US1NCBR0006,"SUNSET BEACH 1.7 WNW, NC US",33.884053,-78.53773,4.9,2021-02,,,,,1.89,9.63,
US1NCBR0002,"LELAND 5.7 WSW, NC US",34.2024,-78.09481,21,2021-02,0,0,0,0,1.46,8.3,0
US1NCBR0001,"CALABASH 1.9 NNE, NC US",33.9246539,-78.5696509,13.4,2021-02,,,,,2.09,10.11,
USC00310982,"BOONE 1 SE, NC US",36.21395,-81.64563,944.9,2021-02,5,2,3,2.5,0.84,4.5,3.5
US1NCHW0030,"WAYNESVILLE 2.2 SE, NC US",35.458483,-82.973765,1126.8,2021-02,,,,,1.3,4.47,
US1NCHW0035,"WAYNESVILLE 5.5 NNW, NC US",35.558258,-83.034368,827.8,2021-02,,,,,1.36,5.74,
US1NCPT0021,"GREENVILLE 4.3 SSE, NC US",35.5408,-77.35,19.2,2021-02,,,,,1.66,7.3,
USR0000NMTI,"MOUNT ISLAND LAKE NORTH CAROLINA, NC US",35.3789,-80.9925,152.4,2021-02,,,,,,,
US1NCHW0039,"MAGGIE VALLEY 2.1 ENE, NC US",35.53165054,-83.05953217,1092.4,2021-02,,,,,1.45,6.28,
USW00013786,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",36.26056,-76.175,4,2021-02,0,0,0,0,1.13,6.49,0
US1NCON0113,"JACKSONVILLE 2.3 NNE, NC US",34.7947,-77.3869,14,2021-02,,,,,2.09,7.86,
US1NCON0114,"SWANSBORO 4.3 SW, NC US",34.64533,-77.18136,1.8,2021-02,,,,,1.55,8.12,
USC00311606,"CEDAR ISLAND, NC US",34.9833,-76.3,2.4,2021-02,0,0,0,0,2.15,9.19,0
US1NCAV0007,"LINVILLE FALLS 0.5 SW, NC US",35.95442,-81.952002,1024.7,2021-02,,,,,,4.79,
US1NCBR0013,"SOUTHPORT 5.9 W, NC US",33.939318,-78.123579,7.6,2021-02,,,,,2.06,8.07,
USC00310750,"B. EVERETT JORDAN DAM, NC US",35.6542,-79.0706,94.5,2021-02,,,,,,6.06,
US1NCON0123,"JACKSONVILLE 3.3 W, NC US",34.761631,-77.461794,7,2021-02,,,,,2.21,7.79,
US1NCPT0035,"GREENVILLE 2.8 ESE, NC US",35.58953476,-77.3261261,14,2021-02,,,,,1.63,7.7,
US1NCAV0010,"PLUMTREE 0.5 W, NC US",36.027813,-82.016926,917.1,2021-02,,,,,0.94,4.83,
US1NCHW0025,"WAYNESVILLE 1.0 NW, NC US",35.493224,-83.012711,926.6,2021-02,,,,,1.36,6.53,
US1NCON0126,"HOLLY RIDGE 4.9 ENE, NC US",34.506954,-77.471675,7,2021-02,,,,,1.62,8.35,
US1NCON0124,"HOLLY RIDGE 3.7 E, NC US",34.490126,-77.490179,9.1,2021-02,,,,,1.43,7.61,
US1NCCT0042,"MAIDEN 5.7 ENE, NC US",35.60639,-81.11102,316.7,2021-02,,,,,1.2,5.57,
US1NCMK0034,"MOUNT HOLLY 4.8 E, NC US",35.307277,-80.946864,205.7,2021-02,,,,,0.95,5.69,
USC00312940,"FAIRFIELD, NC US",35.5361,-76.3121,1.5,2021-02,0,,0,,1.6,6.22,
USC00319100,"WASHINGTON WWTP 4 W, NC US",35.55239,-77.0723,3,2021-02,0,0,0,0,1.37,8.09,0
US1NCMK0037,"DAVIDSON 0.8 W, NC US",35.49928665,-80.86012268,218.5,2021-02,,,,,0.83,6.24,
US1NCCT0048,"TERRELL 1.2 SE, NC US",35.579499,-80.9602,232,2021-02,,,,,1.18,5.67,
US1NCCA0004,"SOUTH MILLS 0.1 SW, NC US",36.44363,-76.328896,2.7,2021-02,,,,,1.09,6.86,
US1NCON0134,"CAMP LEJEUNE 1.4 NW, NC US",34.70924,-77.38458,4.9,2021-02,,,,,1.8,7.07,
US1NCWT0011,"FOSCOE 1.2 WSW, NC US",36.14607,-81.78767,996.7,2021-02,8,2,5,3.3,1.1,5.03,5
US1NCWT0010,"BLOWING ROCK 2.2 NE, NC US",36.148359,-81.640031,1054,2021-02,,,,,0.88,5.15,
US1NCCS0005,"YANCEYVILLE 2.4 SW, NC US",36.379289,-79.369125,150,2021-02,,,,,1.1,6.95,
US1NCPT0040,"GREENVILLE 2.0 SE, NC US",35.578383,-77.349917,21,2021-02,,,,,1.53,7.24,
US1NCCS0002,"MEBANE 11.2 N, NC US",36.251023,-79.238215,210,2021-02,,,,,1.35,7.74,
US1NCPS0001,"ELIZABETH CITY 2.6 W, NC US",36.30151667,-76.2668,3.4,2021-02,,,,,1.33,7.72,
US1NCON0138,"SNEADS FERRY 1.2 SSW, NC US",34.53719,-77.38554,3.4,2021-02,,,,,1.48,7.81,
US1NCIR0002,"HARMONY 3.4 SW, NC US",35.926022,-80.818824,260.9,2021-02,,,,,1.33,6.52,
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2021-02,0,0,0,0,1.33,7.9,0
USC00311624,"CELO 2 S, NC US",35.82638,-82.1837,823,2021-02,8,1,2,2.2,0.88,5.67,2.3
US1NCIR0005,"STATESVILLE 2.9 ENE, NC US",35.795278,-80.834722,258.5,2021-02,,,,,1.04,6.57,
US1NCIR0008,"STATESVILLE 4.0 ENE, NC US",35.805219,-80.817922,281,2021-02,,,,,1.1,6.78,
US1NCBR0035,"OAK ISLAND 2.3 E, NC US",33.917905,-78.120767,6.4,2021-02,,,,,2.17,8.85,
USC00310531,"BARNARDSVILLE 2 SE, NC US",35.76,-82.4325,707.1,2021-02,4,2,3,2.7,0.77,3.89,4.4
US1NCCT0037,"NEWTON 3.4 S, NC US",35.61579,-81.21682,274,2021-02,,,,,1.18,5.48,
US1NCCT0038,"MAIDEN 3.6 W, NC US",35.56687,-81.26869,285.3,2021-02,,,,,1.48,6.67,
US1NCCT0039,"NEWTON 2.9 SE, NC US",35.635138,-81.183106,292.9,2021-02,1,1,2,1.7,1.26,5.84,1.7
USR0000NNCP,"NORTH COVE PINNACLE N. CAROLIN, NC US",35.8167,-81.9372,780.3,2021-02,,,,,,,
US1NCSM0008,"CLINTON 1.5 NE, NC US",35.01718886,-78.31416115,47.2,2021-02,,,,,1.59,8.19,
US1NCPT0055,"WINTERVILLE 1.0 ENE, NC US",35.534348,-77.3819,26.8,2021-02,0,0,0,0,1.47,7.52,0
US1NCCB0032,"MOUNT PLEASANT 3.9 ENE, NC US",35.425305,-80.37362,190.5,2021-02,,,,,0.71,6.17,
US1NCDR0051,"RODANTHE 1.0 SSE, NC US",35.580543,-75.464628,2.1,2021-02,,,,,1.92,8.51,
US1NCSM0001,"CLINTON 5.8 SW, NC US",34.941149,-78.405799,43.9,2021-02,,,,,1.37,7.46,
USC00317170,"REELSBORO, NC US",35.131,-76.9153,13.7,2021-02,0,0,0,0,1.46,7.52,0
US1NCMK0053,"CHARLOTTE 7.0 ENE, NC US",35.2365,-80.7197,227.1,2021-02,,,,,0.88,4.53,
US1NCPS0029,"ELIZABETH CITY 1.8 SE, NC US",36.28133,-76.19496,2.1,2021-02,,,,,1.26,8,
US1NCIR0017,"HARMONY 2.2 N, NC US",35.989379,-80.768892,283.5,2021-02,,,,,1.48,7.11,
US1NCIR0019,"STATESVILLE 6.5 WSW, NC US",35.749448,-80.992562,289,2021-02,,,,,1.11,6.08,
US1NCBR0045,"BOLIVIA 7.6 SW, NC US",33.98538971,-78.22995758,13.1,2021-02,,,,,2.08,8.35,
USC00319123,"WATERVILLE 2, NC US",35.77449,-83.09985,435.9,2021-02,,,,,1.04,5.02,
US1NCCT0027,"HICKORY 5.3 NE, NC US",35.78706,-81.25164,324.9,2021-02,,,,,0.8,5.87,
USR0000NGUI,"GUION FARM NORTH CAROLINA, NC US",35.2133,-82.59,792.5,2021-02,,,,,,,
US1NCCB0020,"MOUNT PLEASANT 0.3 SSE, NC US",35.398288,-80.434669,191.4,2021-02,,,,,,5.27,
US1NCCB0024,"CONCORD 3.2 WSW, NC US",35.39602,-80.649234,193.9,2021-02,,,,,,5.15,
US1NCCB0023,"CONCORD 1.8 ENE, NC US",35.4135,-80.564,206,2021-02,,,,,0.77,6.04,
USC00316096,"NEWPORT MOREHEAD CITY WEATHER FORECAST OFFICE, NC US",34.7763,-76.877,9.1,2021-02,0,0,0,0,1.59,7.09,0
US1NCCB0021,"MIDLAND 1.9 WSW, NC US",35.214363,-80.529724,159.1,2021-02,,,,,,4.18,
US1NCDR0063,"BUXTON 0.3 ENE, NC US",35.270821,-75.53435,1.5,2021-02,,,,,2.04,7.76,
US1NCPT0063,"WINTERVILLE 2.8 WNW, NC US",35.550485,-77.439309,21.9,2021-02,,,,,1.73,8.42,
US1NCDR0062,"MANTEO 2.8 NW, NC US",35.926289,-75.704517,4,2021-02,,,,,1.78,9.37,
US1NCCB0026,"CONCORD 3.4 NNE, NC US",35.4505,-80.564,193.2,2021-02,,,,,0.89,5.01,
US1NCDR0069,"SOUTHERN SHORES 0.5 NNE, NC US",36.125743,-75.729176,7.6,2021-02,,,,,1.6,8.57,
US1NCPS0027,"ELIZABETH CITY 5.1 SSE, NC US",36.22385,-76.20091,1.8,2021-02,,,,,1.33,7.85,
US1NCMK0064,"MATTHEWS 1.3 S, NC US",35.1027,-80.7156,200.6,2021-02,,,,,0.72,5.25,
US1NCMK0068,"HUNTERSVILLE 2.0 W, NC US",35.417665,-80.880048,228,2021-02,,,,,1.08,5.78,
USR0000NNAC,"NATURE CONSERVANCY NORTH CAROL, NC US",34.0483,-78.2903,16.8,2021-02,,,,,,,
US1NCWS0003,"ROPER 2.4 NE, NC US",35.8983068,-76.582247,3,2021-02,,,,,1.85,8.72,
US1NCBR0056,"OAK ISLAND 0.9 ENE, NC US",33.92149353,-78.14719391,6.7,2021-02,,,,,1.45,6.2,
US1NCSN0014,"RICHFIELD 1.9 W, NC US",35.47077,-80.29033,195.7,2021-02,,,,,0.78,5.09,
USC00311881,"CLINTON 2 NE, NC US",35.02508,-78.276,48.2,2021-02,,,,,1.3,6.67,
US1NCWT0051,"VILAS 2.0 SSW, NC US",36.224063,-81.782648,849.5,2021-02,,,,,0.74,3.94,
US1NCPS0030,"ELIZABETH CITY 0.8 NW, NC US",36.3032,-76.2334,1.8,2021-02,,,,,,6.72,
US1NCIR0021,"MOORESVILLE 1.3 WSW, NC US",35.568733,-80.832221,249.3,2021-02,,,,,1.08,5.91,
US1NCAS0022,"FLEETWOOD 3.1 SSE, NC US",36.265016,-81.488872,1012.9,2021-02,,,,,0.8,4.59,
US1NCCD0014,"LENOIR 10.6 NNE, NC US",36.054581,-81.484265,477.9,2021-02,,,,,0.82,4.93,
US1NCWK0061,"RALEIGH 8.4 N, NC US",35.9425,-78.6812,126.8,2021-02,,,,,1.12,7.3,
USC00312500,"DUNN 4 NW, NC US",35.32432,-78.68782,61,2021-02,,,,,1.08,8.86,
US1NCWK0065,"HOLLY SPRINGS 3.6 SSE, NC US",35.604149,-78.818929,136.2,2021-02,,,,,1.55,7.09,
USC00319147,"WAYNESVILLE 1 E, NC US",35.4868,-82.9681,810.2,2021-02,3,3,3,3,1.22,5.78,5.2
US1NCJC0021,"SYLVA 2.1 NNE, NC US",35.402451,-83.20964,749.8,2021-02,,,,,,6.33,
US1NCBR0061,"SOUTHPORT 2.7 NNW, NC US",33.959876,-78.040303,9.1,2021-02,,,,,2.31,9.26,
US1NCPR0005,"HERTFORD 5.2 SSE, NC US",36.11580276,-76.43390656,3,2021-02,,,,,1.28,8.5,
US1NCSN0006,"RICHFIELD 0.2 SSW, NC US",35.468295,-80.25775,199,2021-02,,,,,0.67,5.31,
USC00312740,"ELKIN, NC US",36.25465,-80.86396,277.4,2021-02,1,0,1,0.1,1.02,5.23,0.1
US1NCJC0019,"TUCKASEGEE 3.7 ESE, NC US",35.255121,-83.05926,957.4,2021-02,,,,,1.01,5.14,
US1NCPT0088,"GREENVILLE 5.0 SE, NC US",35.5489,-77.3111,19.8,2021-02,,,,,1.53,7.49,
US1NCBF0016,"BATH 6.6 ESE, NC US",35.4265,-76.7072,1.8,2021-02,,,,,2.26,9.74,
US1NCFK0020,"LOUISBURG 10.6 SSE, NC US",35.970495,-78.196786,57.6,2021-02,,,,,1.09,8.61,
USC00318292,"STATESVILLE 2 NNE, NC US",35.8099,-80.8808,244.8,2021-02,1,1,1,1,1.12,6.03,1
US1NCCB0008,"CONCORD 4.5 SW, NC US",35.36472,-80.65495,193.9,2021-02,,,,,0.85,6.04,
US1NCFK0025,"FRANKLINTON 3.7 SSE, NC US",36.0513,-78.4435,114,2021-02,,,,,1.17,8.32,
US1NCAS0012,"LANSING 5.9 NW, NC US",36.5628,-81.58241,1052.2,2021-02,,3,,4,1,4.6,8.7
US1NCCD0027,"LENOIR 5.7 E, NC US",35.89923,-81.43364,393.8,2021-02,,,,,0.9,5.14,
USC00314938,"LENOIR, NC US",35.9147,-81.5374,352,2021-02,1,1,3,3.6,0.8,5.11,3.6
USC00311429,"CANE CREEK RESERVOIR, NC US",35.9495,-79.2386,160,2021-02,,,,,0.86,6.85,
US1NCBR0078,"LELAND 4.1 S, NC US",34.181751,-78.015339,7.6,2021-02,,,,,1.66,7.45,
US1NCPR0014,"HERTFORD 11.4 E, NC US",36.175195,-76.270258,0.9,2021-02,,,,,1.17,7.96,
USC00310576,"BAYBORO 3 SW, NC US",35.1311,-76.816,1.5,2021-02,0,0,0,0,1.51,8.08,0
USR0000NGRC,"GREENS CROSS NORTH CAROLINA, NC US",36.0175,-76.8917,12.8,2021-02,,,,,,,
US1NCBR0073,"BOLIVIA 8.0 SW, NC US",33.98785019,-78.24365234,9.4,2021-02,,,,,1.89,7.37,
US1NCWK0079,"CARY 1.1 W, NC US",35.7827,-78.819163,127.4,2021-02,,,,,1.18,8.18,
USC00311420,"CANDLER 1 W, NC US",35.5453,-82.6987,682.8,2021-02,2,1,4,4,0.8,3.59,4
US1NCBR0071,"BOLIVIA 7.8 SW, NC US",33.9989909,-78.251092,11.6,2021-02,,,,,1.79,8.11,
US1NCPR0015,"HERTFORD 6.0 SSE, NC US",36.10837,-76.42121,3,2021-02,,,,,1.37,8.55,
USC00312993,"FALLS LAKE, NC US",35.9808,-78.6529,85.3,2021-02,,,,,1.07,8.5,
USR0000NGRF,"GRANDFATHER NORTH CAROLINA, NC US",35.7564,-82.0439,487.7,2021-02,,,,,,,
US1NCAS0002,"CRESTON 2.8 SW, NC US",36.4075,-81.6689,926.6,2021-02,,,,,0.83,4.15,
US1NCWK0084,"APEX 5.5 SW, NC US",35.66919,-78.91351,93.9,2021-02,,,,,0.96,6.45,
USC00311677,"CHAPEL HILL 2 W, NC US",35.9086,-79.0794,152.4,2021-02,,,,,1.03,6.48,
US1NCBR0083,"HOLDEN BEACH 1.7 ENE, NC US",33.913963,-78.284392,2.4,2021-02,,,,,2.53,9.04,
US1NCBR0082,"YAUPON BEACH 0.2 SSW, NC US",33.904826,-78.078248,5.5,2021-02,,,,,3.67,14.54,
US1NCNH0046,"WILMINGTON 6.2 SSE, NC US",34.129467,-77.868518,1.5,2021-02,,,,,2.01,9.08,
US1NCLN0010,"VALE 4.2 W, NC US",35.539062,-81.471724,335,2021-02,,,,,1.15,6.71,
US1NCDR0028,"MANTEO 2.5 WNW, NC US",35.917809,-75.704407,3,2021-02,,,,,1.48,9.26,
USR0000NCHE,"CHEOAH NORTH CAROLINA, NC US",35.3333,-83.8167,640.1,2021-02,,,,,,,
US1NCHK0014,"RED SPRINGS 3.8 NW, NC US",34.849074,-79.235635,66.8,2021-02,,,,,1.2,5.34,
US1NCWK0090,"RALEIGH 3.8 SSW, NC US",35.77,-78.68,87.5,2021-02,,,,,1.11,7.75,
USC00310356,"ATLANTIC BEACH WATER PLANT, NC US",34.6997,-76.7381,1.2,2021-02,0,0,0,0,2.41,10.61,0
US1NCBR0098,"LELAND 1.4 WNW, NC US",34.246907,-78.02947,5.8,2021-02,,,,,1.72,8.59,
USC00313625,"GREENSBORO WTP, NC US",36.08317,-79.80447,233.2,2021-02,,,,,0.9,6.57,
US1NCBR0096,"BOLIVIA 6.2 SSW, NC US",33.99463,-78.20301,11.3,2021-02,,,,,1.9,8.09,
US1NCNH0058,"WILMINGTON 3.0 SE, NC US",34.18388367,-77.87084961,6.1,2021-02,,,,,1.36,8.06,
USR0000NREN,"RENDEZVOUS MOUNTAIN NORTH CAROLINA, NC US",36.2275,-81.2975,726.6,2021-02,,,,,,,
US1NCNH0063,"SMITH CREEK 0.8 E, NC US",34.263102,-77.849303,14,2021-02,,,,,1.44,6.07,
US1NCNH0062,"CAROLINA BEACH 1.0 N, NC US",34.054435,-77.897115,6.1,2021-02,,,,,1.93,9.46,
US1NCBR0090,"SUNSET BEACH 2.5 NE, NC US",33.90272,-78.482076,7.9,2021-02,,,,,1.87,9.49,
US1NCHK0003,"RAEFORD 9.6 E, NC US",34.9592,-79.0558,63.1,2021-02,0,0,0,0,1.68,7.69,0
US1NCLN0004,"LINCOLNTON 4.4 WSW, NC US",35.4606,-81.3296,270.4,2021-02,,1,,2.3,1.28,5.85,2.3
USC00313638,"GREENVILLE, NC US",35.64,-77.3984,9.8,2021-02,0,0,0,0,1.05,6.95,0
US1NCWK0022,"APEX 6.1 ESE, NC US",35.6918,-78.7443,121.9,2021-02,,,,,1.13,8.06,
US1NCWK0020,"HOLLY SPRINGS 6.0 ENE, NC US",35.681989,-78.734861,121.9,2021-02,,,,,1.17,8.25,
USC00314962,"LEWISTON, NC US",36.1325,-77.1708,15.2,2021-02,,,,,0.98,6.66,
US1NCNH0066,"WILMINGTON 3.7 S, NC US",34.15884,-77.92118,3,2021-02,,,,,1.81,8.29,
US1NCWK0027,"RALEIGH 5.7 ENE, NC US",35.838056,-78.559722,81.1,2021-02,,,,,1.14,7.67,
US1NCNH0068,"WILMINGTON 7.3 NE, NC US",34.275786,-77.808867,7.9,2021-02,,,,,1.86,8.81,
US1NCNH0073,"CAROLINA BEACH 0.4 WSW, NC US",34.036644,-77.901682,6.1,2021-02,,,,,1.93,9.65,
USC00314970,"LEXINGTON, NC US",35.84566,-80.25987,231.6,2021-02,,,,,2,9.61,
US1NCDS0013,"CLEMMONS 6.5 SE, NC US",35.959984,-80.298842,256.3,2021-02,,,,,1,6.5,
USR0000NSUN,"SUNNY POINT NORTH CAROLINA, NC US",34.0028,-77.9581,9.1,2021-02,,,,,,,
US1NCWK0270,"WENDELL 1.3 NNE, NC US",35.7986,-78.358,84.7,2021-02,,,,,,7.38,
US1NCCN0022,"NEW BERN 1.4 WSW, NC US",35.114168,-77.102334,8.8,2021-02,,,,,2.51,9.43,
US1NCHD0015,"SQ TOWER, NC US",35.4116,-76.3258,0.9,2021-02,,,,,1.7,8.02,
US1NCHD0014,"OCRACOKE 0.2 ESE, NC US",35.107813,-75.969299,0.3,2021-02,,,,,2.39,10.21,
US1NCCN0020,"HAVELOCK 1.4 SW, NC US",34.89571,-76.916094,6.4,2021-02,,,,,1.64,8.02,
US1NCHD0013,"ENGELHARD 0.8 NW, NC US",35.519675,-76.004754,0.6,2021-02,,,,,1.62,8.45,
US1NCNH0081,"WILMINGTON 6.7 NE, NC US",34.266997,-77.813722,8.8,2021-02,,,,,,8.35,
